00000000|ALLS|Allstate Life Insurance Co of New York  
00008431|AMGE|American General Life Insurance Company 
00103003|AXAA|AXA Equitable Life Insurance Company    
00170218|BANN|Banner Life Insurance Company           
00207094|CETN|Centrian Life Insurance                 
00214322|CINN|Cincinnati Life Insurance Company       
00329509|GEAN|Genworth Life and Annuity Insurance Co  
00386559|GECA|Genworth Life Insurance Company         
00441658|GRAN|Grange Life Insurance Company           
00444217|LNLI|Lincoln Life & Annuity Company of NY    
00450539|LNNA|Lincoln National Life Insurance Company 
00527881|NORA|North American Co for Life and Health   
00596230|PROT|Protective Life Insurance Company       
00690031|PRUC|Pruco Life Insurance Company            
00757577|PRUJ|Pruco Life Insurance Co of New Jersey   
00772087|RELL|ReliaStar Life Insurance Company        
00823087|RELR|ReliaStar Life Insurance of NY          
00833530|SAGI|Sagicor Life Insurance Company          
00883722|SAVE|Savings Bank Life Insurance Co of MA    
00968084|TRAF|Transamerica Financial Life Insurance Co
00989490|TRAN|Transamerica Life Insurance Company     
01089355|WILP|William Penn Life Insurance Co of NY    
