"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Liberty Life Insurance Company          ","A-","RBC LevelTERM - 10 Year Term","305.00","305.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","317.50","317.50","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term  (NY)","317.50","317.50","Pf"
"Woman's Life Insurance Society          ","A-","Ten Year Renewable and Convertible Term","322.50","322.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term UL 10  (200K+)","326.89","326.89","Pf"
"Genworth Life Insurance Company         ","A","Colony Term UL 10  (200K+)","326.89","326.89","Pf"
"Genworth Life Insurance Company of NY   ","A","Colony Term UL 10  (200K+)","326.89","326.89","Pf"
"Ohio National Life Assurance Corporation","A+","Term 10","327.50","327.50","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","332.50","332.50","Pf"
"Government Personnel Mutual Life        ","A-","Mark X - 10 Year Level Term","332.50","332.50","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solution Protector - 10 Year Term","335.00","335.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","335.00","335.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","335.00","335.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed (OR)","335.00","335.00","Pf"
"First MetLife Investors Insurance Co    ","A+","Guaranteed Level Term 10","336.50","336.50","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","336.50","336.50","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10  (Rapid eUW)","336.50","336.50","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","338.00","338.00","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","338.00","338.00","Pf"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","338.00","338.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","340.00","340.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","340.00","340.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","340.00","340.00","Pf"
"Transamerica Life Insurance Co  (TIIG)  ","A+","Trendsetter Super 10","340.00","340.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","Penn Term 10","340.00","340.00","Pf"
"Transamerica Life Ins Co  (Family Mkt)  ","A+","Ultima Champion - 10 Year","342.50","342.50","Pf"
"Western Reserve Life Assurance Co of OH ","A+","WRL TermPlus - 10 Year","342.50","342.50","Pf"
"NYLIFE Insurance Company of Arizona     ","A++","Term to Age 90 - 10 Year Level Term","347.50","347.50","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Term Life - 10 Year","352.50","352.50","Pf"
"Ohio National Life Assurance Corporation","A+","Term 10 Plus","352.50","352.50","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","352.50","352.50","Pf"
"Sunset Life Insurance Company of America","A","Term 10 - 10 Year Term","355.00","355.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","355.00","355.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","355.00","355.00","Pf"
"Gleaner Life Insurance Society          ","A-","Gleaner Term - 10-Year","357.50","357.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","357.50","357.50","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","361.50","361.50","Pf"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","361.50","361.50","Pf"
"Midland National Life Insurance Company ","A+","Premier CS3 - 10 Year Term","362.50","362.50","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","362.50","362.50","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","362.50","362.50","Pf"
"Hartford Life and Annuity Insurance Co  ","A","Hartford Bicentennial Term 10","365.00","365.00","Pf"
"Hartford Life Insurance Company         ","A","Hartford Bicentennial Term 10","365.00","365.00","Pf"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","367.50","367.50","Rg"
"Protective Life & Annuity Insurance Co  ","A+","Empire Term - 10 Year","367.50","367.50","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","370.00","370.00","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year  (WA)","370.00","370.00","Pf"
"Liberty Life Insurance Company          ","A-","RBC LevelTERM - 10 Year Term","370.00","370.00","R+"
"First Ameritas Life Insurance of NY     ","A","Keystone Term 10","380.00","380.00","Pf"
"Illinois Mutual Life Insurance Company  ","B+","10-Year Term","380.00","380.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","380.00","380.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year  (NY)","380.00","380.00","Pf"
"Union Central Life Insurance Company    ","A","Keystone Term 10","380.00","380.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","385.00","385.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","385.00","385.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","386.50","386.50","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","387.50","387.50","Pf"
"Allianz Life Insurance Company of NA    ","A","Term Life 2009 - 10 Year","396.50","396.50","Pf"
"EMC National Life Company               ","B++","EMCNL Term - 10 Year","400.00","400.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) - 10 Year Term","402.50","402.50","Pf"
"Protective Life & Annuity Insurance Co  ","A+","Empire Term - 10 Year","402.50","402.50","Rg"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","402.50","402.50","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solution Protector - 10 Year Term","405.00","405.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","407.50","407.50","Pf"
"The Paul Revere Life Insurance Company  ","A-","Selector 10 - 10 Year Term","407.50","407.50","Rg"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","410.00","410.00","Rg"
"Motorists Life Insurance Company        ","A-","Value Term Plus - 10-Year Plan","410.00","410.00","Pf"
"Trustmark Insurance Company             ","A-","TermNet 10-Year Term","410.00","410.00","Pf"
"Woman's Life Insurance Society          ","A-","Ten Year Renewable and Convertible Term","410.00","410.00","Rg"
"Aviva Life and Annuity Company          ","A","10 Year Term 01-2010","412.50","412.50","Pf"
"Aviva Life and Annuity of New York      ","A","Term 10 01-2010","412.50","412.50","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","415.00","415.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term UL 10  (200K+)","417.01","417.01","Rg"
"Genworth Life Insurance Company         ","A","Colony Term UL 10  (200K+)","417.01","417.01","Rg"
"Genworth Life Insurance Company of NY   ","A","Colony Term UL 10  (200K+)","417.01","417.01","Rg"
"Aurora National Life Assurance Company  ","","10-Year Term","417.50","417.50","Rg"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term Guaranteed 10","417.50","417.50","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10","417.50","417.50","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed 10","417.50","417.50","Rg"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term Guaranteed (OR)","417.50","417.50","Rg"
"Jackson National Life Insurance Company ","A+","Protector 10-Year Term","422.50","422.50","Pf"
"Provident Life and Accident Assurance   ","A-","Level Term I - 10 Year","425.00","425.00","Rg"
"Principal Life Insurance Company        ","A+","10-Year Term","427.50","427.50","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term","427.50","427.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","427.50","427.50","Rg"
"Stonebridge Life Insurance Company      ","A+","Stonebridge Term - 10 Year","427.50","427.50","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","430.00","430.00","Rg"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","430.00","430.00","Rg"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Term Life - 10 Year","430.00","430.00","Rg"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","430.00","430.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","Penn Term 10","430.00","430.00","Rg"
"Assurity Life Insurance Company         ","A-","Non Med Term 350 - 10 Year Level","432.50","432.50","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","433.75","433.75","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","433.75","433.75","Rg"
"Midland National Life Insurance Company ","A+","Premier CS3 - 10 Year Term","435.00","435.00","Rg"
"North American Co for Life and Health   ","A+","ADDvantage 10","435.00","435.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (2005)","435.00","435.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","437.50","437.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / IL)","437.50","437.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","437.50","437.50","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","437.50","437.50","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","445.00","445.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year  (NY)","445.00","445.00","Rg"
"American National Insurance Company     ","A","ANICO Select 10","447.50","447.50","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","448.00","448.00","Rg"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","448.00","448.00","Rg"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","448.00","448.00","Rg"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","449.00","449.00","Rg"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","449.00","449.00","Rg"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","450.00","450.00","Rg"
"Transamerica Life Insurance Co  (TIIG)  ","A+","Trendsetter Super 10","450.00","450.00","Rg"
"American United Life Insurance Company  ","A","Term Protector Series III - LTP 10/10","452.50","452.50","Rg"
"Provident Life and Accident Assurance   ","A-","Level Term II - 10 Year","452.50","452.50","Rg"
"Transamerica Life Ins Co  (Family Mkt)  ","A+","Ultima Champion - 10 Year","452.50","452.50","Rg"
"Western Reserve Life Assurance Co of OH ","A+","WRL TermPlus - 10 Year","452.50","452.50","Rg"
"First MetLife Investors Insurance Co    ","A+","Guaranteed Level Term 10","456.50","456.50","Rg"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","456.50","456.50","Rg"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10  (Rapid eUW)","456.50","456.50","Rg"
"Sagicor Life Insurance Company          ","A-","Gold Series 10 ZZ Term","456.50","456.50","Rg"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","457.50","457.50","Rg"
"Protective Life Insurance Company       ","A+","Protective ValueChoice 10","465.00","465.00","Rg"
"West Coast Life Insurance Company       ","A+","Focus Term 10 - 10 Year","465.00","465.00","Rg"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","465.10","465.10","Rg"
"West Coast Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","465.10","465.10","Rg"
"Illinois Mutual Life Insurance Company  ","B+","10-Year Term","470.00","470.00","Rg"
