"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","80.00","20.80","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","80.00","21.60","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","80.00","20.80","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","80.87","21.03","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year Plus","81.00","21.87","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","87.00","23.49","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","89.00","23.14","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","89.00","23.14","Pf"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","89.97","23.39","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year Plus","90.00","24.30","Pf"
"Illinois Mutual Life Insurance Company  ","B+","10-Year Term","94.00","24.91","P+"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","97.00","25.71","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","97.00","26.19","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","97.00","25.71","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","97.00","26.19","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","97.00","25.22","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","97.00","25.22","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL  (2011)","97.49","24.63","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","98.00","25.48","P+"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","98.00","25.97","P+"
"Gleaner Life Insurance Society          ","A-","Gleaner Term - 10-Year","99.00","25.74","P+"
"Hartford Life and Annuity Insurance Co  ","A","Hartford Bicentennial Term 10","99.00","25.74","P+"
"Hartford Life Insurance Company         ","A","Hartford Bicentennial Term 10","99.00","25.74","P+"
"Sagicor Life Insurance Company          ","A-","Platinum Series 10","99.00","26.24","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","100.00","26.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","100.00","26.00","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","100.00","26.50","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","100.00","26.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","101.00","26.06","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","101.00","26.06","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","101.00","27.27","R+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","101.35","26.35","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","101.35","26.35","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","102.00","26.52","R+"
"EMC National Life Company               ","B++","Term Select - 10 Year","102.00","27.03","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","102.00","26.52","R+"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","102.00","26.52","P+"
"Midland National Life Insurance Company ","A+","Premier CS4 - 10 Year Term","103.00","28.15","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","103.00","26.78","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term  (NY)","103.00","26.78","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","103.00","29.36","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year Plus","103.00","27.81","R+"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","103.00","26.78","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","103.00","27.30","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","103.00","27.30","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","104.00","28.08","Rg"
