"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","212.00","57.24","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year Plus","219.00","59.13","P+"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","229.00","60.69","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","229.94","59.78","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","255.00","66.30","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","259.00","67.34","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","259.00","67.34","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year","261.00","70.47","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","263.00","68.18","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","263.00","68.18","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","263.00","69.70","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","264.45","68.76","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","264.45","68.76","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Term Life - 10 Year","267.00","69.42","P+"
"Hartford Life and Annuity Insurance Co  ","A","Hartford Bicentennial Term 10","268.00","69.68","P+"
"Hartford Life Insurance Company         ","A","Hartford Bicentennial Term 10","268.00","69.68","P+"
"Midland National Life Insurance Company ","A+","Premier CS4 - 10 Year Term","268.00","72.21","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","268.00","76.38","P+"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL","271.92","70.70","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","272.00","70.72","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series VIII - 10 Year Plus","272.00","73.44","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","272.00","70.72","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","276.00","74.52","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","276.00","73.14","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","276.00","74.52","P+"
"Security Mutual Life Insurance Co of NY ","A-","Premier LT Suite 10-Year  (4/2007)","276.00","73.14","Pf"
"Protective Life Insurance Company       ","A+","Secure-T - 10 Year No Lapse UL  (2011)","276.49","69.86","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","277.00","72.02","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","277.00","72.02","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","279.00","72.54","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term  (OR)","279.00","72.54","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","279.00","72.54","P+"
"Illinois Mutual Life Insurance Company  ","B+","10-Year Term","285.00","75.53","P+"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","286.00","75.79","P+"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","286.00","75.79","P+"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","286.00","75.79","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","294.00","76.44","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term  (NY)","294.00","76.44","P+"
"EMC National Life Company               ","B++","Term Select - 10 Year","297.00","78.71","P+"
"Sagicor Life Insurance Company          ","A-","Platinum Series 10","298.00","78.97","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","300.00","81.00","P+"
