"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","347.50","347.50","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","362.50","362.50","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","362.50","362.50","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","365.00","365.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","367.50","367.50","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","370.00","370.00","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","375.00","375.00","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","375.00","375.00","Pf"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","375.00","375.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","377.50","377.50","Pf"
"Gleaner Life Insurance Society          ","A-","Gleaner Term - 10-Year","385.00","385.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","387.50","387.50","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","387.50","387.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","387.50","387.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","387.50","387.50","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","390.00","390.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","391.50","391.50","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","391.50","391.50","Pf"
"Fidelity Life Association               ","A-","Loyalty Value Term - 10 Year","395.00","395.00","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term  (CA)","395.00","395.00","Pf"
"Fidelity Life Association               ","A-","Hybrid Term - 10 Year (with blood test)","402.50","402.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","407.50","407.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","407.50","407.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","407.50","407.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","407.50","407.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","407.50","407.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","407.50","407.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","407.50","407.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","407.50","407.50","Pf"
"American United Life Insurance Company  ","A+","American Protector Plus - LTP 10/10","410.00","410.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","410.00","410.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","410.00","410.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term  (NY)","412.50","412.50","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","412.50","412.50","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","415.00","415.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","415.00","415.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","417.50","417.50","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","427.50","427.50","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","427.50","427.50","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","427.50","427.50","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","427.50","427.50","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","427.50","427.50","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","427.50","427.50","Pf"
"Woman's Life Insurance Society          ","","Ten Year Renewable and Convertible Term","427.50","427.50","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","432.50","432.50","Pf"
"Trustmark Insurance Company             ","A-","TermNet 10-Year Term","432.50","432.50","Pf"
"Midland National Life Insurance Company ","A+","Premier CS5 - 10 Year Term","435.00","435.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","435.00","435.00","Pf"
"Grange Life Insurance Company           ","A-","Select Choice Level Term 10 year","437.50","437.50","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","442.50","442.50","Pf"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","447.50","447.50","Pf"
"Motorists Life Insurance Company        ","A-","Value Term Plus - 10-Year Plan","454.50","454.50","Pf"
"National Western Life Insurance Company ","A","NWL Term 10","455.00","455.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","457.50","457.50","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","457.50","457.50","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","457.50","457.50","Rg"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","460.00","460.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","460.00","460.00","Pf"
"Aviva Life and Annuity Company          ","B++","10 Year Term 01-2010","465.00","465.00","Pf"
"Aviva Life and Annuity of New York      ","B++","Term 10 01-2010","465.00","465.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Express 10  (250K+)","465.00","465.00","Pf"
"National Western Life Insurance Company ","A","NWL Secure Term 10","467.50","467.50","Pf"
"Principal Life Insurance Company        ","A+","10-Year Term (2014)","467.50","467.50","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2014)","467.50","467.50","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","470.00","470.00","Rg"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","477.50","477.50","Pf"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","477.50","477.50","Rg"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","477.50","477.50","Rg"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","477.50","477.50","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","479.00","479.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","480.00","480.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","480.00","480.00","Rg"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","482.50","482.50","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","482.50","482.50","Pf"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","482.50","482.50","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year  (CT)","484.00","484.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","485.00","485.00","Rg"
