"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","334.00","334.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","349.00","349.00","Pf"
"Fidelity Life Association               ","A-","Hybrid Term - 10 Year (with blood test)","375.00","375.00","Pf"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","380.00","380.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","380.00","380.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","383.00","383.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","383.00","383.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","383.00","383.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","389.00","389.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","389.00","389.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","391.00","391.00","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term","391.00","391.00","Pf"
"ReliaStar Life Insurance Company  (ING) ","A","TermSmart 10 - 10 Year Term  (OR)","391.00","391.00","Pf"
"ReliaStar Life Insurance of NY    (ING) ","A","TermSmart 10 - 10 Year Term  (NY)","391.00","391.00","Pf"
"Trustmark Insurance Company             ","A-","TermNet 10-Year Term","391.00","391.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","391.00","391.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","396.00","396.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","396.00","396.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","398.00","398.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","398.00","398.00","Pf"
"Fidelity Life Association               ","A-","Loyalty Value Term - 10 Year","407.00","407.00","Pf"
"American United Life Insurance Company  ","A+","American Protector Plus - 10-Year Level","409.00","409.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","410.00","410.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","410.00","410.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","410.00","410.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term  (NY)","417.00","417.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","426.00","426.00","Pf"
"Woman's Life Insurance Society          ","","Ten Year Renewable and Convertible Term","426.00","426.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","429.00","429.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","429.00","429.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","429.00","429.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","429.00","429.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","429.00","429.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","429.00","429.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","429.00","429.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","429.00","429.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","429.00","429.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","435.00","435.00","Pf"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","437.00","437.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","443.00","443.00","Pf"
"MetLife Investors USA Insurance Company ","A+","Guaranteed Level Term 10","443.00","443.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","443.00","443.00","Pf"
"Sagicor Life Insurance Company          ","A-","SI - Sage Term 10  (Simplified Issue)","443.00","443.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","446.00","446.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","446.00","446.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","450.00","450.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","453.00","453.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","454.00","454.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","454.00","454.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","454.00","454.00","Pf"
"Grange Life Insurance Company           ","A-","Select Choice Level Term 10 year","457.00","457.00","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","460.00","460.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","460.00","460.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","472.00","472.00","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solutions Protector - 10 Year","480.00","480.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","480.00","480.00","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","480.00","480.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10","482.00","482.00","Pf"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","486.50","486.50","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","486.50","486.50","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","491.00","491.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (2005)","492.00","492.00","Pf"
"National Western Life Insurance Company ","A","NWL Term 10","498.00","498.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","504.00","504.00","Rg"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","504.00","504.00","Rg"
"North American Co for Life and Health   ","A+","ADDvantage 10","504.00","504.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","504.00","504.00","Rg"
"National Western Life Insurance Company ","A","NWL Secure Term 10","507.00","507.00","Pf"
"Trustmark Insurance Company             ","A-","TermNet 10-Year Term","507.00","507.00","Rg"
"Aurora National Life Assurance Company  ","","10-Year Term","508.00","508.00","Rg"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","509.00","509.00","Rg"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","509.00","509.00","Rg"
"Motorists Life Insurance Company        ","A-","Value Term Plus - 10-Year Plan","511.00","511.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","518.00","518.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term","518.00","518.00","Rg"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","518.00","518.00","Rg"
"Assurity Life Insurance Company         ","A-","SI - Non Med Term 350 - 10 Year Level","520.00","520.00","P+"
"Fidelity Life Association               ","A-","Hybrid Term - 10 Year (with blood test)","520.00","520.00","Rg"
"Midland National Life Insurance Company ","A+","Executive CS3 - 10 Year Term","520.00","520.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","521.00","521.00","Rg"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","521.00","521.00","Rg"
"American National Insurance Company     ","A","ANICO Signature Term Express 10","527.00","527.00","Rg"
"American National Life Ins Company of NY","A","ANICO Signature Term Express 10","527.00","527.00","Rg"
"Standard Life and Accident Insurance Co ","A","Advantage Shield Term 10","527.00","527.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","527.00","527.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","527.00","527.00","Rg"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","529.00","529.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","530.00","530.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","530.00","530.00","Pf"
