"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly/W",""
"10 Year Level Term Guaranteed","","","","",""
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","2,565.00","2,565.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","2,565.00","2,565.00","Pf"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 Year","2,865.00","2,865.00","Pf"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","2,865.00","2,865.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","2,865.00","2,865.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","2,873.26","2,873.26","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","2,955.00","2,955.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","2,975.00","2,975.00","Rg"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","2,975.00","2,975.00","Rg"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","3,060.00","3,060.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","3,108.00","3,108.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","3,125.00","3,125.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","3,170.00","3,170.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","3,222.82","3,222.82","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","3,222.82","3,222.82","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","3,285.00","3,285.00","Pf"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","3,320.00","3,320.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","3,320.00","3,320.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","3,327.15","3,327.15","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","3,350.00","3,350.00","Pf"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","3,377.00","3,377.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","3,380.00","3,380.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","3,380.00","3,380.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","3,380.00","3,380.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","3,405.00","3,405.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","3,405.00","3,405.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","3,405.00","3,405.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","3,415.00","3,415.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) - 10 Year Term II  (VI)","3,415.00","3,415.00","Pf"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","3,510.00","3,510.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","3,515.00","3,515.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","3,530.00","3,530.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","3,530.00","3,530.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","3,530.00","3,530.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","3,530.00","3,530.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","3,530.00","3,530.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","3,530.00","3,530.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","3,530.00","3,530.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","3,530.00","3,530.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","3,545.00","3,545.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10  (MD)","3,545.00","3,545.00","Pf"
"Sagicor Life Insurance Company          ","A-","Sage Term 10","3,575.00","3,575.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","3,575.00","3,575.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","3,575.00","3,575.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","3,575.00","3,575.00","Pf"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","3,587.85","3,587.85","Pf"
"Allstate Life Insurance Co of New York  ","A+","TrueTerm (2012) - 10 Year","3,588.00","3,588.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","3,675.00","3,675.00","Pf"
"Independent Order of Foresters          ","A","Foresters Lifefirst - 10 Year","3,690.00","3,690.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","3,725.00","3,725.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","3,735.00","3,735.00","Rg"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","3,740.00","3,740.00","Pf"
