"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","190.00","190.00","P+"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","199.00","199.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","199.00","199.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","200.00","200.00","P+"
"Protective Life Insurance Company       ","A+","Custom Choice UL - 10 Year No Lapse","200.74","200.74","P+"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","210.00","210.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","210.00","210.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","210.00","210.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","210.00","210.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","210.00","210.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","210.00","210.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","210.00","210.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","210.00","210.00","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","210.00","210.00","P+"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","210.00","210.00","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","215.00","215.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","220.00","220.00","P+"
"John Hancock Life Insurance Company USA ","A+","10 Year Level Premium Term","220.00","220.00","P+"
"John Hancock Life Insurance Company NY  ","A+","10 Year Level Premium Term","220.00","220.00","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","220.00","220.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","220.00","220.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","220.00","220.00","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","220.00","220.00","P+"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","221.50","221.50","P+"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","221.50","221.50","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","222.50","222.50","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","222.50","222.50","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2015)","222.50","222.50","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2015)","222.50","222.50","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","222.50","222.50","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","227.50","227.50","P+"
"Pacific Life & Annuity Company          ","A+","Pacific PRIME Term 10 NY","227.50","227.50","P+"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","227.50","227.50","P+"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","230.00","230.00","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","232.50","232.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","232.50","232.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","232.50","232.50","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","232.50","232.50","P+"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","234.00","234.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","234.00","234.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","237.50","237.50","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","237.50","237.50","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","237.50","237.50","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","237.50","237.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","240.00","240.00","P+"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","242.50","242.50","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","245.00","245.00","P+"
"Fidelity Life Association               ","A-","Loyalty Value Term - 10 Year","245.00","245.00","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","245.00","245.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","245.00","245.00","P+"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","249.00","249.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","249.00","249.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","250.00","250.00","Pf"
"Protective Life Insurance Company       ","A+","Custom Choice UL - 10 Year No Lapse","250.24","250.24","Pf"
"American United Life Insurance Company  ","A+","American Protector Plus - 10-Year Level","252.50","252.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","252.50","252.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","252.50","252.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","252.50","252.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","252.50","252.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","252.50","252.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","252.50","252.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","252.50","252.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","252.50","252.50","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","255.00","255.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","255.00","255.00","Pf"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","257.50","257.50","P+"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","257.50","257.50","P+"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","257.50","257.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter LB 10","257.50","257.50","P+"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","260.00","260.00","P+"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","260.00","260.00","P+"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","262.00","262.00","P+"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","262.50","262.50","Pf"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","262.50","262.50","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","265.00","265.00","Pf"
"Grange Life Insurance Company           ","A-","Select Choice Level Term 10 year","270.00","270.00","P+"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","270.00","270.00","P+"
