"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","332.50","332.50","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","337.50","337.50","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","342.50","342.50","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","342.50","342.50","P+"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","344.00","344.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","344.00","344.00","P+"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","345.00","345.00","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","347.50","347.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","347.50","347.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","347.50","347.50","P+"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","347.50","347.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10","347.50","347.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","347.50","347.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","347.50","347.50","P+"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","347.50","347.50","P+"
"Protective Life Insurance Company       ","A+","Custom Choice UL - 10 Year No Lapse","349.24","349.24","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","355.00","355.00","P+"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","355.00","355.00","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","362.50","362.50","P+"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","362.50","362.50","P+"
"Companion Life Insurance Company of NY  ","A+","Term Life Answers 10","365.00","365.00","P+"
"United of Omaha Life Insurance Company  ","A+","Term Life Answers 10","365.00","365.00","P+"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","367.50","367.50","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2015)","370.00","370.00","P+"
"Principal National Life Insurance Co    ","A+","10-Year Term (2015)","370.00","370.00","P+"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","370.00","370.00","P+"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","375.00","375.00","P+"
"North American Co for Life and Health   ","A+","ADDvantage 10","375.00","375.00","P+"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","377.50","377.50","P+"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","377.50","377.50","P+"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","377.50","377.50","P+"
"John Hancock Life Insurance Company USA ","A+","10 Year Level Premium Term","380.00","380.00","P+"
"John Hancock Life Insurance Company NY  ","A+","10 Year Level Premium Term","380.00","380.00","P+"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","384.50","384.50","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","385.00","385.00","P+"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","385.00","385.00","P+"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","385.00","385.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","385.00","385.00","P+"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","385.00","385.00","P+"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","389.00","389.00","P+"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","389.00","389.00","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","392.50","392.50","P+"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","392.50","392.50","P+"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","392.50","392.50","P+"
"EMC National Life Company               ","A-","Term Select - 10 Year","395.00","395.00","P+"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","397.50","397.50","P+"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","397.50","397.50","P+"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","397.50","397.50","P+"
"Fidelity Life Association               ","A-","Loyalty Value Term - 10 Year","400.00","400.00","P+"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","400.00","400.00","P+"
"Pacific Life & Annuity Company          ","A+","Pacific PRIME Term 10 NY","405.00","405.00","P+"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","405.00","405.00","P+"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","407.50","407.50","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","407.50","407.50","P+"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","407.50","407.50","Pf"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","409.00","409.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","409.00","409.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","410.00","410.00","Pf"
"Protective Life Insurance Company       ","A+","Custom Choice UL - 10 Year No Lapse","411.10","411.10","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","412.50","412.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","412.50","412.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","412.50","412.50","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","412.50","412.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","412.50","412.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","412.50","412.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","412.50","412.50","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","412.50","412.50","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","412.50","412.50","P+"
"AAA Life Insurance Company              ","A-","10 Year Level Term","425.00","425.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","425.00","425.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","425.00","425.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","425.00","425.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","425.00","425.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","427.50","427.50","Pf"
"American United Life Insurance Company  ","A+","American Protector Plus - 10-Year Level","430.00","430.00","P+"
"Grange Life Insurance Company           ","A-","Select Choice Level Term 10 year","430.00","430.00","P+"
"MTL Insurance Company                   ","A-","SelecTerm-10","430.00","430.00","P+"
"Principal Life Insurance Company        ","A+","10-Year Term (2015)","432.50","432.50","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2015)","432.50","432.50","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY)","432.50","432.50","P+"
