"Company Name (Click to sort V)","AMB","Product Name (Click to sort V)"," Annual"," Quarterly",""
"10 Year Level Term Guaranteed","","","","",""
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","300.00","300.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","300.00","300.00","Pf"
"Polish Roman Catholic Union of America  ","","10 Year Renewable Level Term","340.00","340.00","Pf"
"","","","375.00","375.00","Rg"
"Woman's Life Insurance Society          ","","Ten Year Renewable and Convertible Term","400.00","400.00","Pf"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term","415.00","415.00","Rg"
"Assurity Life Insurance Company         ","A-","Term 350 Plus - 10-year Term  (WA)","415.00","415.00","Rg"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","420.00","420.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","450.00","450.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","455.00","455.00","Pf"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","460.00","460.00","Pf"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","460.00","460.00","Pf"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","460.00","460.00","Pf"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","460.00","460.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","460.00","460.00","Pf"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","460.00","460.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","470.00","470.00","Pf"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","475.00","475.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","475.00","475.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","478.00","478.00","Pf"
"Sagicor Life Insurance Company          ","A-","Sage Term 10","490.00","490.00","Pf"
"Woman's Life Insurance Society          ","","Ten Year Renewable and Convertible Term","490.00","490.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","495.00","495.00","Pf"
"National Western Life Insurance Company ","A","NWL Term 10","495.00","495.00","Pf"
"Securian Life Insurance Company         ","A+","Advantage Elite Select Life - 10 Year","495.00","495.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter LB 10","500.00","500.00","Pf"
"MTL Insurance Company                   ","A-","SelecTerm-10","505.00","505.00","Pf"
"Ohio National Life Assurance Corporation","A+","Recap Term - 10 Year","505.00","505.00","Pf"
"Pacific Life & Annuity Company          ","A+","Pacific PRIME Term 10 NY","505.00","505.00","Pf"
"Pacific Life Insurance Company          ","A+","Pacific PRIME Term 10","505.00","505.00","Pf"
"National Western Life Insurance Company ","A","NWL Secure Term 10","510.00","510.00","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","510.00","510.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term","510.00","510.00","Pf"
"Symetra Life Insurance Company          ","A","10 Year Level Term  (WA)","510.00","510.00","Pf"
"Transamerica Life Insurance Company     ","A+","Trendsetter Express 10  (250K+)","515.00","515.00","Pf"
"Northwestern Mutual Life Insurance      ","A++","TT Level Term 10","519.00","519.00","Pf"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","520.00","520.00","Pf"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","520.00","520.00","Pf"
"American National Insurance Company     ","A","ANICO Signature Term 10","525.00","525.00","Pf"
"American National Life Ins Company of NY","A","ANICO Signature Term 10","525.00","525.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year","525.00","525.00","Rg"
"Standard Life and Accident Insurance Co ","A","Advantage Shield Term 10","525.00","525.00","Pf"
"Transamerica Financial Life Insurance Co","A+","Trendsetter Super 10","525.00","525.00","Pf"
"Baltimore Life Insurance Company        ","B++","Secure Solutions Protector - 10 Year","530.00","530.00","Pf"
"Illinois Mutual Life Insurance Company  ","B++","Protector Term Life 10-Year","530.00","530.00","Pf"
"Aurora National Life Assurance Company  ","","10-Year Term","535.00","535.00","Rg"
"American United Life Insurance Company  ","A+","American Protector Plus - 10-Year Level","540.00","540.00","Pf"
"Grange Life Insurance Company           ","A-","Select Choice Level Term 10 year","540.00","540.00","Pf"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term 10 (2014)","540.00","540.00","Pf"
"Lincoln National Life Insurance Company ","A+","LifeElement (SM) Level Term - 10 Year","540.00","540.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","545.00","545.00","Pf"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","545.00","545.00","Pf"
"American General Life Insurance Company ","A","Select-a-Term - 10 Year","549.00","549.00","Pf"
"United States Life Ins in the City of NY","A","Select-a-Term - 10 Year","549.00","549.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10","550.00","550.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MS, PA, TX & VT)","550.00","550.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (MD)","550.00","550.00","Pf"
"Genworth Life and Annuity Insurance Co  ","A","Colony Term 10  (OR)","550.00","550.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10","550.00","550.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MS, PA, TX & VT)","550.00","550.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (MD)","550.00","550.00","Pf"
"Genworth Life Insurance Company         ","A","Colony Term 10  (OR)","550.00","550.00","Pf"
"National Life Insurance Co of Vermont   ","A","GL-10 - 10 Year Level Term","550.00","550.00","Pf"
"Ohio National Life Assurance Corporation","A+","FlexTerm Series IX - 10 Year Plus","550.00","550.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Protector 10-Year","550.00","550.00","Rg"
"Motorists Life Insurance Company        ","A-","Your Term Life Plan - 10-Year","552.00","552.00","Pf"
"EMC National Life Company               ","A-","Term Select - 10 Year","555.00","555.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress ONLY)","555.00","555.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Essential 10 (<250K PruXpress / WA)","555.00","555.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Essential 10 (NY/<250K PruXpress)","555.00","555.00","Pf"
"Sunset Life Insurance Company of America","A-","Term 10 - 10 Year Term","555.00","555.00","Pf"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term","555.00","555.00","Rg"
"TIAA-CREF Life Insurance Company        ","A++","10-Year Level Term  (NY)","555.00","555.00","Rg"
"Farmers New World Life Insurance Company","A","Value Term - 10 Year","556.00","556.00","Pf"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","559.00","559.00","Pf"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","559.00","559.00","Pf"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10","560.00","560.00","Rg"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term","560.00","560.00","Pf"
"ReliaStar Life Insurance Company        ","A","TermSmart 10 - 10 Year Term  (OR)","560.00","560.00","Pf"
"ReliaStar Life Insurance of NY          ","A","TermSmart 10 - 10 Year Term  (NY)","560.00","560.00","Pf"
"Cincinnati Life Insurance Company       ","A","LifeHorizons Termsetter 10","565.00","565.00","Rg"
"MTL Insurance Company                   ","A-","SelecTerm-10  (NV, NJ, OR)","565.00","565.00","Rg"
"National Benefit Life Insurance Company ","A+","Custom Advantage - 10 Year","565.00","565.00","Rg"
"Nationwide Life and Annuity Insurance Co","A+","YourLife(SM) GLT 10 Year Term","565.00","565.00","Pf"
"Nationwide Life Insurance Company       ","A+","YourLife(SM) GLT 10 Year Term","565.00","565.00","Pf"
"Primerica Life Insurance Company        ","A+","Custom Advantage - 10 Year","565.00","565.00","Rg"
"Midland National Life Insurance Company ","A+","Premier CS6 - 10 Year Term","570.00","570.00","Pf"
"North American Co for Life and Health   ","A+","ADDvantage 10","570.00","570.00","Pf"
"AAA Life Insurance Company              ","A-","10 Year Level Term","575.00","575.00","Rg"
"Guardian Life Insurance Co of America   ","A++","Level Term Gold 10  (xtended conversion)","575.00","575.00","Rg"
"John Hancock Life Insurance Company USA ","A+","10 Year Level Premium Term","580.00","580.00","Pf"
"John Hancock Life Insurance Company NY  ","A+","10 Year Level Premium Term","580.00","580.00","Pf"
"Fidelity Life Association               ","A-","Loyalty Value Term - 10 Year","585.00","585.00","Pf"
"Lincoln Life & Annuity Company of NY    ","A+","LifeElement (SM) Level Term - 10 (2014)","585.00","585.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year","595.00","595.00","Pf"
"Columbus Life Insurance Company         ","A+","Nautical Term - 10 Year  (OR)","595.00","595.00","Pf"
"Massachusetts Mutual Life Insurance     ","A++","Vantage Term 10","595.00","595.00","Pf"
"AXA Equitable Life Insurance Company    ","A+","Equitable Term 10  (151X)","605.00","605.00","Rg"
"Banner Life Insurance Company           ","A+","OPTerm 10 - 10 Year Term","605.00","605.00","Rg"
"Centrian Life Insurance                 ","A+","T-10/10 - 10 Year Term","605.00","605.00","Rg"
"Fidelity Life Association               ","A-","Hybrid Term - 10 Year (with blood test)","605.00","605.00","Pf"
"Royal Neighbors of America              ","A-","Royal Advantage 10 - 10 Year Level Term","605.00","605.00","Rg"
"Savings Bank Life Insurance Co of MA    ","A+","T-10/10 - 10 Year Term","605.00","605.00","Rg"
"William Penn Life Insurance Co of NY    ","A+","OpTerm 10","605.00","605.00","Rg"
"MetLife Insurance Company USA           ","A+","Guaranteed Level Term 10","609.00","609.00","Rg"
"Metropolitan Life Insurance Company     ","A+","Guaranteed Level Term 10","609.00","609.00","Rg"
"Baltimore Life Insurance Company        ","B++","Secure Solutions Protector - 10 Year","610.00","610.00","Rg"
"Pan-American Life Insurance Company     ","A","Sentinel Series 10 - 10-Year Term","610.00","610.00","Rg"
"Western-Southern Life Assurance Company ","A+","10-Year Guaranteed Level Term","610.00","610.00","Pf"
"Minnesota Life Insurance Company        ","A+","Advantage Elite Select Life - 10 Year","618.00","618.00","Rg"
"National Western Life Insurance Company ","A","NWL Term 10","620.00","620.00","Rg"
"New York Life Insurance Company         ","A++","10 Year Level Term (10LCT)","620.00","620.00","Pf"
"The Penn Mutual Life Insurance Company  ","A+","Guaranteed 10 Year Term","620.00","620.00","Rg"
"Principal Life Insurance Company        ","A+","10-Year Term (2015)","620.00","620.00","Pf"
"Principal National Life Insurance Co    ","A+","10-Year Term (2015)","620.00","620.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY)","620.00","620.00","Pf"
"Pruco Life Insurance Company            ","A+","Term Elite 10  (<250K PruXpress ONLY/WA)","620.00","620.00","Pf"
"Pruco Life Insurance Co of New Jersey   ","A+","Term Elite 10  (NY/<250K PruXpress ONLY)","620.00","620.00","Pf"
"American National Insurance Company     ","A","ANICO Signature Term 10","625.00","625.00","Rg"
"American National Life Ins Company of NY","A","ANICO Signature Term 10","625.00","625.00","Rg"
"Ameritas Life Insurance Corp            ","A","Keystone Term 10","625.00","625.00","Rg"
"Ameritas Life Insurance Corp of New York","A","Keystone Term 10","625.00","625.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year","625.00","625.00","Rg"
"Security Mutual Life Insurance Co of NY ","A-","LT Security Plus 10-Year  (NY)","625.00","625.00","Rg"
"Standard Life and Accident Insurance Co ","A","Advantage Shield Term 10","625.00","625.00","Rg"
"Transamerica Life Insurance Company     ","A+","Trendsetter Super 10","625.00","625.00","Rg"
