AAAL,AAAL,10 Year Level Term,3
,,15 Year Level Term,4
,,20 Year Level Term,5
,,25 Year Level Term,6
,,30 Year Level Term,7
,,15 Year Level Term  (with ROP),J
,,20 Year Level Term  (with ROP),K
,,25 Year Level Term  (with ROP),L
,,30 Year Level Term  (with ROP),M
AAAP,,10 Year Level Term  (Super Preferred),3
,,15 Year Level Term  (Super Preferred),4
,,20 Year Level Term  (Super Preferred),5
,,25 Year Level Term  (Super Preferred),6
,,30 Year Level Term  (Super Preferred),7
,,15 Year Level Term  (Super Pfd w/ROP),J
,,20 Year Level Term  (Super Pfd w/ROP),K
,,25 Year Level Term  (Super Pfd w/ROP),L
,,30 Year Level Term  (Super Pfd w/ROP),M
AAIL,AMIL,MegaTerm(NY) 10 - 10 Year Term,3
AAWL,AAAL,10 Year Level Term  (WA),3
,,15 Year Level Term  (WA),4
,,20 Year Level Term  (WA),5
,,25 Year Level Term  (WA),6
,,30 Year Level Term  (WA),7
AAWP,,10 Year Level Term  (Super Pfd / WA),3
,,15 Year Level Term  (Super Pfd / WA),4
,,20 Year Level Term  (Super Pfd / WA),5
,,25 Year Level Term  (Super Pfd / WA),6
,,30 Year Level Term  (Super Pfd / WA),7
ACAS,AMGE,LTG Ultra-C 10  (Special / 2005),8
ACBS,,LTG Ultra-C 15  (Special / 2005),8
ACCG,,LTG Ultra-C 10  (2005),3
,,LTG Ultra-C 15  (2005),4
,,LTG Ultra-C 20  (2005),5
,,LTG Ultra-C 30  (2005),7
ACCH,,LTG Ultra-C 10  (Plus / 2005),3
,,LTG Ultra-C 15  (Plus / 2005),4
,,LTG Ultra-C 20  (Plus / 2005),5
,,LTG Ultra-C 30  (Plus / 2005),7
ACCS,,LTG Ultra-C 20  (Special / 2005),8
ACDS,,LTG Ultra-C 30  (Special / 2005),8
AGAS,,LTG Ultra-C 10  (Special),8
AGBL,ALLS,Level Best Gold 10 - 10 Year,3
,,Level Best Gold 15/10 - 15 Year,4
,,Level Best Gold 20/10 - 20 Year,5
,,Level Best Gold 30/10 - 30 Year,7
AGBM,,Level Best Gold 10  (P+ Elite/R+Select),3
,,Level Best Gold 15/10  (P+ Elite/R+ Sel),4
,,Level Best Gold 20/10  (P+ Elite/R+ Sel),5
,,Level Best Gold 30/10  (P+ Elite/R+ Sel),7
AGBS,AMGE,LTG Ultra-C 15  (Special),8
AGCG,,LTG Ultra-C 10,3
,,LTG Ultra-C 15,4
,,LTG Ultra-C 20,5
,,LTG Ultra-C 30,7
AGCH,,LTG Ultra-C 10  (Plus),3
,,LTG Ultra-C 15  (Plus),4
,,LTG Ultra-C 20  (Plus),5
,,LTG Ultra-C 30  (Plus),7
AGCS,,LTG Ultra-C 20  (Special),8
AGDS,,LTG Ultra-C 30  (Special),8
AGES,,LTG Ultra 10  (Special),8
AGFS,,LTG Ultra 15  (Special),8
AGGL,ALLS,GT Gold 10 - 10 Year,3
,,GT Gold 15 - 15 Year,4
,,GT Gold 20 - 20 Year,5
,,GT Gold 30 - 30 Year,7
AGGM,,GT Gold 10  (P+ Elite/R+ Select),3
,,GT Gold 15  (P+ Elite/R+ Select),4
,,GT Gold 20  (P+ Elite/R+ Select),5
,,GT Gold 30  (P+ Elite/R+ Select),7
AGGS,AMGE,LTG Ultra 20  (Special),8
AGHS,,LTG Ultra 30  (Special),8
AGIL,ALLS,Level Best Gold 15/10 - 15 Year  (IN),4
,,Level Best Gold 20/10 - 20 Year  (IN),5
,,Level Best Gold 30/10 - 30 Year  (IN),7
AGIM,,Level Best Gold 15/10  (P+/R+ IN),4
,,Level Best Gold 20/10  (P+/R+ IN),5
,,Level Best Gold 30/10  (P+/R+ IN),7
AGIS,AMGE,ROP Term 15  (Special),8
AGJS,,ROP Term 20  (Special),8
AGKS,,ROP Term 30  (Special),8
AGOL,ALLS,Level Best Gold 10 - 10 Year  (OR),3
,,Level Best Gold 15/10 - 15 Year  (OR),4
,,Level Best Gold 20/10 - 20 Year  (OR),5
,,Level Best Gold 30/10 - 30 Year  (OR),7
AGOM,,Level Best Gold 10  (P+/R+ OR),3
,,Level Best Gold 15/10  (P+/R+ OR),4
,,Level Best Gold 20/10  (P+/R+ OR),5
,,Level Best Gold 30/10  (P+/R+ OR),7
AGRG,AMGE,ROP Term 15,J
,,ROP Term 20,K
,,ROP Term 30,M
AGRH,,ROP Term 15  (Plus),J
,,ROP Term 20  (Plus),K
,,ROP Term 30  (Plus),M
AGWL,ALLS,GT Gold 10 - 10 Year  (OR & WA),3
,,GT Gold 15 - 15 Year  (OR & WA),4
,,GT Gold 20 - 20 Year  (OR & WA),5
,,GT Gold 30 - 30 Year  (OR & WA),7
AGWM,,GT Gold 10  (P+ Elite/R+ Select / OR&WA),3
,,GT Gold 15  (P+ Elite/R+ Select / OR&WA),4
,,GT Gold 20  (P+ Elite/R+ Select / OR&WA),5
,,GT Gold 30  (P+ Elite/R+ Select / OR&WA),7
AIRG,AMGE,LTG Ultra 10,3
,,LTG Ultra 15,4
,,LTG Ultra 20,5
,,LTG Ultra 30,7
AIRH,,LTG Ultra 10    (Plus),3
,,LTG Ultra 15    (Plus),4
,,LTG Ultra 20    (Plus),5
,,LTG Ultra 30    (Plus),7
ALLE,ALLI,10 Year Term Life  (P+ Elite Select),3
,,20 Year Term Life  (P+ Elite Select),5
ALLI,,10 Year Term Life,3
,,20 Year Term Life,5
ALLS,,10 Year Term Life  (P+ Super/R+Select),3
,,20 Year Term Life  (P+ Super/R+Select),5
,ALLS,Allstate Maximum Term - 1 Year Term,1
,,Allstate Protector Plus - 5 Year Term,2
AMAP,AMMA,Term 5   (P+ Preferred Best),2
,,Term 10  (P+ Preferred Best),3
,,Term 15  (P+ Preferred Best),4
,,Term 20  (P+ Preferred Best),5
,,Term 30  (P+ Preferred Best),7
,,Lifetime Protector 50 + (P+# Pfd Best),8
AMAS,,Term 5   (Pf Select# Rg Standard),2
,,Term 10  (Pf Select# Rg Standard),3
,,Term 15  (Pf Select# R+ Standard+),4
,,Term 20  (Pf Select# R+ Standard+),5
,,Term 30  (Pf Select# R+ Standard+),7
,,Lifetime Protector 50 +(Pf-Sct# R+ Std+),8
AMAT,,Term 5,2
,,Term 10,3
,,Term 15,4
,,Term 20,5
,,Term 30,7
,,Lifetime Protector 50 +,8
AMCO,AMCO,Term 10 Level Term Life,3
,,Term 15 Level Term Life,4
,,Term 20 Level Term Life,5
AMEH,AMHO,ART - Annual Renewable Term,1
AMFI,AMFI,T2 EZ 20 Year,5
,,T2 EZ 25 Year,6
,,T2 EZ 30 Year,7
AMFO,AMFO,Annual Renewable Term,1
,,Ten Year Renewable Term,3
AMHE,AMHE,"Current Premium" 10 Year R & C Term,3
AMLI,AMLI,Instant Term - 10 Year Term,3
,,Instant Term - 20 Year Term,5
AMLP,,Instant Term - 10 Year Term (Super Pfd),3
,,Instant Term - 20 Year Term (Super Pfd),5
AMMV,AMUS,10 Year Term (10YT),3
,,15 Year Term (15YT),4
,,20 Year Term (20YT),5
AMMW,,10 Year Term  (Premier),3
,,15 Year Term  (Premier),4
,,20 Year Term  (Premier),5
AMNP,AMNT,Affinity II - 10 Year Term  (Plus),3
,,Affinity II - 20 Year Term  (Plus),5
,,Affinity II - 30 Year Term  (Plus),7
AMNT,,Affinity II - 10 Year Term,3
,,Affinity II - 20 Year Term,5
,,Affinity II - 30 Year Term,7
