AAAL,AAAL,10 Year Level Term,3
,,15 Year Level Term,4
,,20 Year Level Term,5
,,25 Year Level Term,6
,,30 Year Level Term,7
,,LifeTime UL (LTULII),G
,,15 Year Level Term  (with ROP),J
,,20 Year Level Term  (with ROP),K
,,25 Year Level Term  (with ROP),L
,,30 Year Level Term  (with ROP),M
AAAP,,10 Year Level Term  (Super Pfd/Std Plus),3
,,15 Year Level Term  (Super Pfd/Std Plus),4
,,20 Year Level Term  (Super Pfd/Std Plus),5
,,25 Year Level Term  (Super Pfd/Std Plus),6
,,30 Year Level Term  (Super Pfd/Std Plus),7
,,LifeTime UL (LTULII)  (Super Preferred),G
,,15 Year Level Term  (Super Pfd/Std Plus),J
,,20 Year Level Term  (Super Pfd/Std Plus),K
,,25 Year Level Term  (Super Pfd/Std Plus),L
,,30 Year Level Term  (Super Pfd/Std Plus),M
AAIL,AMIL,MegaTerm(NY) 10 - 10 Year Term,3
ALLE,ALLI,10 Year Term Life  (P+ Elite Select),3
,,20 Year Term Life  (P+ Elite Select),5
ALLI,,10 Year Term Life  (2004),3
,,20 Year Term Life  (2004),5
ALLS,,10 Year Term Life  (P+ Super/R+Select),3
,,20 Year Term Life  (P+ Super/R+Select),5
ALTE,,10 Year Term Life  (P+ Elite Select),3
,,20 Year Term Life  (P+ Elite Select),5
,,30 Year Term Life  (P+ Elite Select),7
,,20 Year Term Life  (P+ Elite Select),K
,,30 Year Term Life  (P+ Elite Select),M
ALTI,,10 Year Term Life,3
,,20 Year Term Life,5
,,30 Year Term Life,7
,,20 Year Term Life with ROP,K
,,30 Year Term Life with ROP,M
ALTS,,10 Year Term Life  (P+ Super/R+ Select),3
,,20 Year Term Life  (P+ Super/R+ Select),5
,,30 Year Term Life  (P+ Super/R+ Select),7
,,20 Year Term Life  (P+ Super/R+ Select),K
,,30 Year Term Life  (P+ Super/R+ Select),M
ALUI,,Generation Planner II  (1980 CSO),8
,,GenDex-RP UL - 20 year no lapse with ROP,K
ALUS,,Generation Planner II  (P+ Super/R+ Sel),8
,,GenDex-RP UL - w/ROP  (P+Super/R+Select),K
ALWI,,Generation Planner II - U/L no lapse,8
ALWS,,Generation Planner II  (P+ Super/R+ Sel),8
AMAM,AMAM,Easy Term 10  (Simplified Issue),3
,,Easy Term 20  (Simplified Issue),5
,,Easy Term 30  (Simplified Issue),7
,,Easy Term 20 w/ROP  (Simplified 06-9691),K
,,Easy Term 30 w/ROP  (Simplified 06-9691),M
AMBM,,Easy Term 20 w/ROP  (Simplified 07-9734),K
,,Easy Term 30 w/ROP  (Simplified 07-9734),M
AMCO,AMCO,Term 10 Level Term Life,3
,,Term 15 Level Term Life,4
,,Term 20 Level Term Life,5
AMEH,AMHO,ART - Annual Renewable Term,1
AMFI,AMFI,T2 EZ 20 Year,5
,,T2 EZ 25 Year,6
,,T2 EZ 30 Year,7
AMMV,AVIV,Advantage Builder Series II w/NLG  175k+,8
AMMW,,Advantage Builder Series II (P+) (175k),8
AMNP,AMNT,ANICO Select 10  (Plus),3
,,ANICO Select 15  (Plus),4
,,ANICO Select 20  (Plus),5
,,ANICO Select 30  (Plus),7
,,ANICO Select 15 with ROP  (Plus),J
,,ANICO Select 20 with ROP  (Plus),K
,,ANICO Select 30 with ROP  (Plus),M
AMNT,,ANICO Select 10,3
,,ANICO Select 15,4
,,ANICO Select 20,5
,,ANICO Select 30,7
,,ANICO Select 15 with ROP,J
,,ANICO Select 20 with ROP,K
,,ANICO Select 30 with ROP,M
AMTL,AMTA,Low-Load 10 Year Term,3
,,Low-Load 20 Year Term,5
,,Low-Load 30 Year Term,7
AMTP,,Low-Load 10 Year Term  (Super Preferred),3
,,Low-Load 20 Year Term  (Super Preferred),5
,,Low-Load 30 Year Term  (Super Preferred),7
AMTV,AVIV,Term 2005 - 10 Year Level Term,3
,,Term 2005 - 15 Year Level Term,4
,,Term 2005 - 20 Year Level Term,5
,,Term 2005 - 30 Year Level Term,7
,,Advantage Builder Indexed UL w/NLG,8
AMTW,,Term 2005 - 10 Year  (Preferred Plus),3
,,Term 2005 - 15 Year  (Preferred Plus),4
,,Term 2005 - 20 Year  (Preferred Plus),5
,,Term 2005 - 30 Year  (Preferred Plus),7
,,Advantage Builder Indexed UL w/NLG  (P+),8
AMUN,AMSU,Term Protector Series III - LTP 10/10,3
,,Term Protector Series III - LTP 15/15,4
,,Term Protector Series III - LTP 20/20,5
AMUS,,LTP 10/10  (P+ Elite / R+ Preferred),3
,,LTP 15/15  (P+ Elite / R+ Preferred),4
,,LTP 20/20  (P+ Elite / R+ Preferred),5
AMUV,AVIV,Advantage Builder Series II w/NLG,8
AMUW,,Advantage Builder Series II w/NLG  (P+),8
ANNP,AMNT,LTG Universal Life - pay to 100 (Plus),P
ANNT,,LTG Universal Life - pay to 100,P
AOAL,AAAL,10 Year Level Term  (2005),3
,,15 Year Level Term  (2005),4
,,20 Year Level Term  (2005),5
,,25 Year Level Term  (2005),6
,,30 Year Level Term  (2005),7
,,15 Year Level Term  (with ROP / 2005),J
,,20 Year Level Term  (with ROP / 2005),K
,,25 Year Level Term  (with ROP / 2005),L
,,30 Year Level Term  (with ROP / 2005),M
AOAP,,10 Year Level Term  (Super Preferred),3
,,15 Year Level Term  (Super Preferred),4
,,20 Year Level Term  (Super Preferred),5
,,25 Year Level Term  (Super Preferred),6
,,30 Year Level Term  (Super Preferred),7
,,15 Year Level Term  (Super Pfd w/ROP),J
,,20 Year Level Term  (Super Pfd w/ROP),K
,,25 Year Level Term  (Super Pfd w/ROP),L
,,30 Year Level Term  (Super Pfd w/ROP),M
AOWL,,10 Year Level Term  (WA),3
,,15 Year Level Term  (WA),4
,,20 Year Level Term  (WA),5
,,25 Year Level Term  (WA),6
,,30 Year Level Term  (WA),7
AOWP,,10 Year Level Term  (Super Pfd / WA),3
,,15 Year Level Term  (Super Pfd / WA),4
,,20 Year Level Term  (Super Pfd / WA),5
,,25 Year Level Term  (Super Pfd / WA),6
,,30 Year Level Term  (Super Pfd / WA),7
ARAS,AMGF,LTG Ultra-C 10  (Special / 2006),F
ARBS,,LTG Ultra-C 15  (Special / 2006),F
ARCG,AMGE,LTG Ultra-C 10,3
,,LTG Ultra-C 15,4
,,LTG Ultra-C 20,5
,,LTG Ultra-C 30,7
,,ContinUL Extend - no lapse U/L,8
ARCH,,LTG Ultra-C 10  (Plus),3
,,LTG Ultra-C 15  (Plus),4
,,LTG Ultra-C 20  (Plus),5
,,LTG Ultra-C 30  (Plus),7
,,ContinUL Extend - no lapse U/L  (Plus),8
ARCS,AMGF,LTG Ultra-C 20  (Special / 2006),F
ARDS,,LTG Ultra-C 30  (Special / 2006),F
ARIS,,ROP Term 15     (Special / 2006),F
ARJS,,ROP Term 20     (Special / 2006),F
ARKS,,ROP Term 30     (Special / 2006),F
ARLP,AMSV,LifeTerm 15  (Ultra Preferred),4
,,LifeTerm 20  (Ultra Preferred),5
,,LifeTerm 30  (Ultra Preferred),7
,,LifeTerm 15  (Ultra Preferred / w/ROP),J
,,LifeTerm 20  (Ultra Preferred / w/ROP),K
,,LifeTerm 30  (Ultra Preferred / w/ROP),M
ARLS,AMGF,Select-a-Term 10    (Special),F
ARLT,AMSV,LifeTerm 15,4
,,LifeTerm 20,5
,,LifeTerm 30,7
,,LifeTerm 15   (with ROP),J
,,LifeTerm 20   (with ROP),K
,,LifeTerm 30   (with ROP),M
