AAAL,AAAL,10 Year Level Term,3
,,15 Year Level Term,4
,,20 Year Level Term,5
,,25 Year Level Term,6
,,30 Year Level Term,7
,,15 Year Level Term  (with ROP),J
,,20 Year Level Term  (with ROP),K
,,25 Year Level Term  (with ROP),L
,,30 Year Level Term  (with ROP),M
AAAP,,10 Year Level Term  (Super Pfd/Std Plus),3
,,15 Year Level Term  (Super Pfd/Std Plus),4
,,20 Year Level Term  (Super Pfd/Std Plus),5
,,25 Year Level Term  (Super Pfd/Std Plus),6
,,30 Year Level Term  (Super Pfd/Std Plus),7
,,15 Year Level Term  (Super Pfd/Std Plus),J
,,20 Year Level Term  (Super Pfd/Std Plus),K
,,25 Year Level Term  (Super Pfd/Std Plus),L
,,30 Year Level Term  (Super Pfd/Std Plus),M
AAIL,AMIL,MegaTerm(NY) 10 - 10 Year Term,3
ALSI,ALLI,Term Life 2009 - 10 Year,3
,,Term Life 2009 - 20 Year,5
,,Term Life 2009 - 30 Year,7
ALSP,,Term Life 2009 - 10 Year  (Pfd Plus),3
,,Term Life 2009 - 20 Year  (Pfd Plus),5
,,Term Life 2009 - 30 Year  (Pfd Plus),7
ALSS,,Term Life 2009 - 10 Year  (Super),3
,,Term Life 2009 - 20 Year  (Super),5
,,Term Life 2009 - 30 Year  (Super),7
ALSU,,Term Life 2009 - 10 Year  (Ultra),3
,,Term Life 2009 - 20 Year  (Ultra),5
,,Term Life 2009 - 30 Year  (Ultra),7
ALUI,,Generation Planner II  (1980 CSO),8
ALUS,,Generation Planner II  (P+ Super/R+ Sel),8
ALWI,,Generation Planner II - U/L no lapse,8
ALWS,,Generation Planner II  (P+ Super/R+ Sel),8
AMAM,AMAM,Easy Term 10  (Simplified Issue),3
,,Easy Term 20  (Simplified Issue),5
,,Easy Term 30  (Simplified Issue),7
,,Easy Term 20 w/ROP  (Simplified 06-9691),K
,,Easy Term 30 w/ROP  (Simplified 06-9691),M
AMBM,,Easy Term 20 w/ROP  (Simplified 07-9734),K
,,Easy Term 30 w/ROP  (Simplified 07-9734),M
AMCO,AMCO,Term 10 Level Term Life,3
,,Term 15 Level Term Life,4
,,Term 20 Level Term Life,5
AMEH,AMHO,ART - Annual Renewable Term,1
AMFI,AMFI,T2 EZ 20 Year,5
,,T2 EZ 25 Year,6
,,T2 EZ 30 Year,7
AMMV,AVIV,Advantage Builder Series II w/NLG  175k+,8
,,Advantage Builder - Single Pay     175k+,O
,,Advantage Builder - Pay to 100     175k+,P
,,Advantage Builder - Pay to 65      175k+,Q
,,Advantage Builder - 20 Pay         175k+,R
,,Advantage Builder - 10 Pay         175k+,S
AMMW,,Advantage Builder Series II (P+) (175k),8
,,Advantage Builder - Single Pay (P+/175k),O
,,Advantage Builder - Pay to 100 (P+/175k),P
,,Advantage Builder - Pay to 65  (P+/175k),Q
,,Advantage Builder - 20 Pay     (P+/175k),R
,,Advantage Builder - 10 Pay     (P+/175k),S
AMNP,AMNT,ANICO Select 10  (Plus),3
,,ANICO Select 15  (Plus),4
,,ANICO Select 20  (Plus),5
,,ANICO Select 30  (Plus),7
,,ANICO Select 15 with ROP  (Plus),J
,,ANICO Select 20 with ROP  (Plus),K
,,ANICO Select 30 with ROP  (Plus),M
AMNT,,ANICO Select 10,3
,,ANICO Select 15,4
,,ANICO Select 20,5
,,ANICO Select 30,7
,,ANICO Select 15 with ROP,J
,,ANICO Select 20 with ROP,K
,,ANICO Select 30 with ROP,M
AMTL,AMTA,Low-Load 10 Year Term,3
,,Low-Load 20 Year Term,5
,,Low-Load 30 Year Term,7
AMTP,,Low-Load 10 Year Term  (Super Preferred),3
,,Low-Load 20 Year Term  (Super Preferred),5
,,Low-Load 30 Year Term  (Super Preferred),7
AMUN,AMSU,Term Protector Series III - LTP 10/10,3
,,Term Protector Series III - LTP 15/15,4
,,Term Protector Series III - LTP 20/20,5
AMUS,,LTP 10/10  (P+ Elite / R+ Preferred),3
,,LTP 15/15  (P+ Elite / R+ Preferred),4
,,LTP 20/20  (P+ Elite / R+ Preferred),5
AMUV,AVIV,Advantage Builder Series II w/NLG,8
,,Advantage Builder - Single Pay,O
,,Advantage Builder - Pay to 100,P
,,Advantage Builder - Pay to 65,Q
,,Advantage Builder - 20 Pay,R
,,Advantage Builder - 10 Pay,S
AMUW,,Advantage Builder Series II w/NLG  (P+),8
,,Advantage Builder - Single Pay     (P+),O
,,Advantage Builder - Pay to 100     (P+),P
,,Advantage Builder - Pay to 65      (P+),Q
,,Advantage Builder - 20 Pay         (P+),R
,,Advantage Builder - 10 Pay         (P+),S
ANNP,AMNT,LTG Universal Life - pay to 100 (Plus),P
ANNT,,LTG Universal Life - pay to 100,P
ARBG,AMGE,Select-a-Term - 16 Year,F
ARBH,,Select-a-Term - 16 Year  (Plus),F
ARDG,,Select-a-Term - 18 Year,F
ARDH,,Select-a-Term - 18 Year  (Plus),F
AREG,,Select-a-Term - 19 Year,F
AREH,,Select-a-Term - 19 Year  (Plus),F
ARFG,,Select-a-Term - 21 Year,F
ARFH,,Select-a-Term - 21 Year  (Plus),F
ARGG,,Select-a-Term - 22 Year,F
ARGH,,Select-a-Term - 22 Year  (Plus),F
ARHG,,Select-a-Term - 23 Year,F
ARHH,,Select-a-Term - 23 Year  (Plus),F
ARIG,,Select-a-Term - 24 Year,F
ARIH,,Select-a-Term - 24 Year  (Plus),F
ARJG,,Select-a-Term - 26 Year,F
ARJH,,Select-a-Term - 26 Year  (Plus),F
ARKG,,Select-a-Term - 27 Year,F
ARKH,,Select-a-Term - 27 Year  (Plus),F
ARLG,,Select-a-Term - 28 Year,F
ARLH,,Select-a-Term - 28 Year  (Plus),F
ARMG,,Select-a-Term - 29 Year,F
ARMH,,Select-a-Term - 29 Year  (Plus),F
ARMT,AMSV,Home Mortgage Series - 15/15 year,4
,,Home Mortgage Series - 20/20 year,5
,,Home Mortgage Series - 25/25 year,6
,,Home Mortgage Series - 30/30 year,7
,,Home Mortgage Series - 15/15 year/ROP,J
,,Home Mortgage Series - 20/20 year/ROP,K
,,Home Mortgage Series - 25/25 year/ROP,L
,,Home Mortgage Series - 30/30 year/ROP,M
ARQS,AMGG,ROP Select-a-Term - 15 Year  (Special),F
ARRG,AMGE,Select-a-Term - 10 Year,3
,,Select-a-Term - 15 Year,4
,,Select-a-Term - 20 Year,5
,,Select-a-Term - 25 Year,6
,,Select-a-Term - 30 Year,7
,,ContinUL Extend Plus - no lapse UL,8
,,Select-a-Term - Level to 65,T
,,Select-a-Term - Level to 70,U
,,Select-a-Term - Level to 75,V
ARRH,,Select-a-Term - 10 Year  (Plus),3
,,Select-a-Term - 15 Year  (Plus),4
,,Select-a-Term - 20 Year  (Plus),5
,,Select-a-Term - 25 Year  (Plus),6
,,Select-a-Term - 30 Year  (Plus),7
,,ContinUL Extend Plus - no lapse UL  (+),8
,,Select-a-Term - Level to 65 (Plus),T
,,Select-a-Term - Level to 70 (Plus),U
,,Select-a-Term - Level to 75 (Plus),V
ARRS,AMGG,ROP Select-a-Term - 20 Year  (Special),F
ARSG,AMGE,ContinUL Extend Plus - no lapse (500K),8
,,ROP Select-a-Term - 15 Year,J
,,ROP Select-a-Term - 20 Year,K
,,ROP Select-a-Term - 25 Year,L
,,ROP Select-a-Term - 30 Year,M
,,ROP Select-a-Term - Level to 65,W
,,ROP Select-a-Term - Level to 70,X
,,ROP Select-a-Term - Level to 75,Y
