AAAL,AAAL,10 Year Level Term,3
,,15 Year Level Term,4
,,20 Year Level Term,5
,,25 Year Level Term,6
,,30 Year Level Term,7
,,15 Year Level Term  (with ROP),J
,,20 Year Level Term  (with ROP),K
,,25 Year Level Term  (with ROP),L
,,30 Year Level Term  (with ROP),M
AAAP,,10 Year Level Term  (Super Pfd/Std Plus),3
,,15 Year Level Term  (Super Pfd/Std Plus),4
,,20 Year Level Term  (Super Pfd/Std Plus),5
,,25 Year Level Term  (Super Pfd/Std Plus),6
,,30 Year Level Term  (Super Pfd/Std Plus),7
,,15 Year Level Term  (Super Pfd/Std Plus),J
,,20 Year Level Term  (Super Pfd/Std Plus),K
,,25 Year Level Term  (Super Pfd/Std Plus),L
,,30 Year Level Term  (Super Pfd/Std Plus),M
AAIL,AMIL,MegaTerm(NY) 10 - 10 Year Term,3
AGBG,AMGE,Select-a-Term - 16 Year,F
AGBH,,Select-a-Term - 16 Year  (Plus),F
AGCG,,Select-a-Term - 17 Year,F
AGCH,,Select-a-Term - 17 Year  (Plus),F
AGDG,,Select-a-Term - 18 Year,F
AGDH,,Select-a-Term - 18 Year  (Plus),F
AGEG,,Select-a-Term - 19 Year,F
AGEH,,Select-a-Term - 19 Year  (Plus),F
AGFG,,Select-a-Term - 21 Year,F
AGFH,,Select-a-Term - 21 Year  (Plus),F
AGGG,,Select-a-Term - 22 Year,F
AGGH,,Select-a-Term - 22 Year  (Plus),F
AGHG,,Select-a-Term - 23 Year,F
AGHH,,Select-a-Term - 23 Year  (Plus),F
AGIG,,Select-a-Term - 24 Year,F
AGIH,,Select-a-Term - 24 Year  (Plus),F
AGJG,,Select-a-Term - 26 Year,F
AGJH,,Select-a-Term - 26 Year  (Plus),F
AGKG,,Select-a-Term - 27 Year,F
AGKH,,Select-a-Term - 27 Year  (Plus),F
AGLG,,Select-a-Term - 28 Year,F
AGLH,,Select-a-Term - 28 Year  (Plus),F
AGLS,,Select-a-Term 10    (Special),F
AGMG,,Select-a-Term - 29 Year,F
AGMH,,Select-a-Term - 29 Year  (Plus),F
AGMS,,Select-a-Term 15    (Special),F
AGNS,,Select-a-Term 20    (Special),F
AGOS,,Select-a-Term 25    (Special),F
AGPS,,Select-a-Term 30    (Special),F
ALSI,ALLI,Term Life 2009 - 10 Year,3
,,Term Life 2009 - 20 Year,5
,,Term Life 2009 - 30 Year,7
ALSP,,Term Life 2009 - 10 Year  (Pfd Plus),3
,,Term Life 2009 - 20 Year  (Pfd Plus),5
,,Term Life 2009 - 30 Year  (Pfd Plus),7
ALSS,,Term Life 2009 - 10 Year  (Super),3
,,Term Life 2009 - 20 Year  (Super),5
,,Term Life 2009 - 30 Year  (Super),7
ALSU,,Term Life 2009 - 10 Year  (Ultra),3
,,Term Life 2009 - 20 Year  (Ultra),5
,,Term Life 2009 - 30 Year  (Ultra),7
ALUI,,Generation Planner II  (1980 CSO),8
ALUS,,Generation Planner II  (P+ Super/R+ Sel),8
ALWI,,Generation Planner II - U/L no lapse,8
ALWS,,Generation Planner II  (P+ Super/R+ Sel),8
AMAM,AMAM,Easy Term 10  (Simplified Issue),3
,,Easy Term 20  (Simplified Issue),5
,,Easy Term 30  (Simplified Issue),7
,,Easy Term 20 w/ROP  (Simplified 06-9691),K
,,Easy Term 30 w/ROP  (Simplified 06-9691),M
,,Golden Solution Final Expense,P
AMBM,,Easy Term 20 w/ROP  (Simplified 07-9734),K
,,Easy Term 30 w/ROP  (Simplified 07-9734),M
,,Family Solution Final Expense,P
AMCO,AMCO,Term 10 Level Term Life,3
,,Term 15 Level Term Life,4
,,Term 20 Level Term Life,5
AMEH,AMHO,ART - Annual Renewable Term,1
AMEM,AMEM,Noble Tradition Final Expense,P
AMFI,AMFI,T2 EZ 20 Year,5
,,T2 EZ 25 Year,6
,,T2 EZ 30 Year,7
AMMV,AVIV,Advantage Builder Series II w/NLG  175k+,8
,,Advantage Builder - Single Pay     175k+,O
,,Advantage Builder - Pay to 100     175k+,P
,,Advantage Builder - Pay to 65      175k+,Q
,,Advantage Builder - 20 Pay         175k+,R
,,Advantage Builder - 10 Pay         175k+,S
AMMW,,Advantage Builder Series II (P+) (175k),8
,,Advantage Builder - Single Pay (P+/175k),O
,,Advantage Builder - Pay to 100 (P+/175k),P
,,Advantage Builder - Pay to 65  (P+/175k),Q
,,Advantage Builder - 20 Pay     (P+/175k),R
,,Advantage Builder - 10 Pay     (P+/175k),S
AMNP,AMNT,ANICO Select 10  (Plus),3
,,ANICO Select 15  (Plus),4
,,ANICO Select 20  (Plus),5
,,ANICO Select 30  (Plus),7
,,ANICO Select 20 with ROP  (Plus),K
,,ANICO Select 30 with ROP  (Plus),M
AMNT,,ANICO Select 10,3
,,ANICO Select 15,4
,,ANICO Select 20,5
,,ANICO Select 30,7
,,ANICO Select 20 with ROP,K
,,ANICO Select 30 with ROP,M
AMSV,AVIV,Advantage Builder Series III w/NLG,8
,,Advantage Builder III - Single Pay,O
,,Advantage Builder III - Pay to 100,P
,,Advantage Builder III - Pay to 65,Q
,,Advantage Builder III - 20 Pay,R
,,Advantage Builder III - 10 Pay,S
AMSW,,Advantage Builder Series III w/NLG  (P+),8
,,Advantage Builder - Single Pay     (P+),O
,,Advantage Builder III - Pay to 100  (P+),P
,,Advantage Builder - Pay to 65      (P+),Q
,,Advantage Builder - 20 Pay         (P+),R
,,Advantage Builder - 10 Pay         (P+),S
AMTL,AMTA,Low-Load 10 Year Term,3
,,Low-Load 20 Year Term,5
,,Low-Load 30 Year Term,7
AMTP,,Low-Load 10 Year Term  (Super Preferred),3
,,Low-Load 20 Year Term  (Super Preferred),5
,,Low-Load 30 Year Term  (Super Preferred),7
AMTV,AVIV,Advantage Builder Series III w/NLG 175k+,8
,,Advantage Builder III - Single Pay 175k+,O
,,Advantage Builder III - Pay to 100 175k+,P
,,Advantage Builder III - Pay to 65  175k+,Q
,,Advantage Builder III - 20 Pay     175k+,R
,,Advantage Builder III - 10 Pay     175k+,S
AMTW,,Advantage Builder Series III (P+) (175k),8
,,Advantage Builder - Single Pay (P+/175k),O
,,Advantage Builder - Pay to 100 (P+/175k),P
,,Advantage Builder - Pay to 65  (P+/175k),Q
,,Advantage Builder - 20 Pay     (P+/175k),R
,,Advantage Builder - 10 Pay     (P+/175k),S
AMUN,AMSU,Term Protector Series III - LTP 10/10,3
,,Term Protector Series III - LTP 15/15,4
,,Term Protector Series III - LTP 20/20,5
AMUS,,LTP 10/10  (P+ Elite / R+ Preferred),3
,,LTP 15/15  (P+ Elite / R+ Preferred),4
,,LTP 20/20  (P+ Elite / R+ Preferred),5
AMUV,AVIV,Advantage Builder Series II w/NLG,8
,,Advantage Builder - Single Pay,O
,,Advantage Builder - Pay to 100,P
,,Advantage Builder - Pay to 65,Q
,,Advantage Builder - 20 Pay,R
,,Advantage Builder - 10 Pay,S
AMUW,,Advantage Builder Series II w/NLG  (P+),8
,,Advantage Builder - Single Pay     (P+),O
,,Advantage Builder - Pay to 100     (P+),P
,,Advantage Builder - Pay to 65      (P+),Q
,,Advantage Builder - 20 Pay         (P+),R
,,Advantage Builder - 10 Pay         (P+),S
ANNP,AMNT,LTG Universal Life - pay to 100 (Plus),P
ANNT,,LTG Universal Life - pay to 100,P
ARMT,AMSV,Home Mortgage Series - 15/15 year,4
,,Home Mortgage Series - 20/20 year,5
,,Home Mortgage Series - 25/25 year,6
