Comp,rical,Data - May 2012                              June 9# 20,1
2Pro,Comp,ny Code   Product Name                            Categ,o
ryAA,AAA,10 Year Level Term,
3,,15 Year Level Term,
4,,20 Year Level Term,
5,,25 Year Level Term,
6,,30 Year Level Term,
7,,15 Year Level Term  (with ROP),
J,,20 Year Level Term  (with ROP),
K,,25 Year Level Term  (with ROP),
L,,30 Year Level Term  (with ROP),
MAA,,10 Year Level Term  (Super Pfd/Std Plus),
3,,15 Year Level Term  (Super Pfd/Std Plus),
4,,20 Year Level Term  (Super Pfd/Std Plus),
5,,25 Year Level Term  (Super Pfd/Std Plus),
6,,30 Year Level Term  (Super Pfd/Std Plus),
7,,15 Year Level Term  (Super Pfd/Std Plus),
J,,20 Year Level Term  (Super Pfd/Std Plus),
K,,25 Year Level Term  (Super Pfd/Std Plus),
L,,30 Year Level Term  (Super Pfd/Std Plus),
MAG,AMG,Select-a-Term - 16 Year,
FAG,,Select-a-Term - 16 Year  (Plus),
FAG,,Select-a-Term - 17 Year,
FAG,,Select-a-Term - 17 Year  (Plus),
FAG,,Select-a-Term - 18 Year,
FAG,,Select-a-Term - 18 Year  (Plus),
FAG,,Select-a-Term - 19 Year,
FAG,,Select-a-Term - 19 Year  (Plus),
FAG,,Select-a-Term - 21 Year,
FAG,,Select-a-Term - 21 Year  (Plus),
FAG,,Select-a-Term - 22 Year,
FAG,,Select-a-Term - 22 Year  (Plus),
FAG,,Select-a-Term - 23 Year,
FAG,,Select-a-Term - 23 Year  (Plus),
FAG,,Select-a-Term - 24 Year,
FAG,,Select-a-Term - 24 Year  (Plus),
FAG,,Select-a-Term - 26 Year,
FAG,,Select-a-Term - 26 Year  (Plus),
FAG,,Select-a-Term - 27 Year,
FAG,,Select-a-Term - 27 Year  (Plus),
FAG,,Select-a-Term - 28 Year,
FAG,,Select-a-Term - 28 Year  (Plus),
FAG,,Select-a-Term 10    (Special),
FAG,,Select-a-Term - 29 Year,
FAG,,Select-a-Term - 29 Year  (Plus),
FAG,,Select-a-Term 15    (Special),
FAG,,Select-a-Term 20    (Special),
FAG,,Select-a-Term 25    (Special),
FAG,,Select-a-Term 30    (Special),
FAL,ALL,Term Life 2009 - 10 Year,
3,,Term Life 2009 - 20 Year,
5,,Term Life 2009 - 30 Year,
7AL,,Term Life 2009 - 10 Year  (Pfd Plus),
3,,Term Life 2009 - 20 Year  (Pfd Plus),
5Co,toric,l Data - May 2012                              June 9#,2
012P,Co,pany Code   Product Name                            Cat,e
gory,,Term Life 2009 - 30 Year  (Pfd Plus),
7,,Term Life 2009 - 10 Year  (Super),
3,,Term Life 2009 - 20 Year  (Super),
5,,Term Life 2009 - 30 Year  (Super),
7,,Term Life 2009 - 10 Year  (Ultra),
3,,Term Life 2009 - 20 Year  (Ultra),
5,,Term Life 2009 - 30 Year  (Ultra),
7,,Generation Planner II  (1980 CSO),
8,,Generation Planner II  (P+ Super/R+ Sel),
8,,Generation Planner II - U/L no lapse,
8,,Generation Planner II  (P+ Super/R+ Sel),
8,A,AM           Easy Term 10  (Simplified Issue),
3,,Easy Term 20  (Simplified Issue),
5,,Easy Term 30  (Simplified Issue),
7,,Easy Term 20 w/ROP  (Simplified 06-9691),
K,,Easy Term 30 w/ROP  (Simplified 06-9691),
