          AAA Life Insurance Company              
AAAL,10 Year Level Term,3
AAAP,10 Year Level Term  (Super Pfd/Std Plus),3
AOAL,10 Year Level Term  (2005),3
AOAP,10 Year Level Term  (Super Preferred),3
AOWL,10 Year Level Term  (WA),3
AOWP,10 Year Level Term  (Super Pfd / WA),3
AAAL,15 Year Level Term,4
AAAP,15 Year Level Term  (Super Pfd/Std Plus),4
AOAL,15 Year Level Term  (2005),4
AOAP,15 Year Level Term  (Super Preferred),4
AOWL,15 Year Level Term  (WA),4
AOWP,15 Year Level Term  (Super Pfd / WA),4
AAAL,20 Year Level Term,5
AAAP,20 Year Level Term  (Super Pfd/Std Plus),5
AOAL,20 Year Level Term  (2005),5
AOAP,20 Year Level Term  (Super Preferred),5
AOWL,20 Year Level Term  (WA),5
AOWP,20 Year Level Term  (Super Pfd / WA),5
AAAL,25 Year Level Term,6
AAAP,25 Year Level Term  (Super Pfd/Std Plus),6
AOAL,25 Year Level Term  (2005),6
AOAP,25 Year Level Term  (Super Preferred),6
AOWL,25 Year Level Term  (WA),6
AOWP,25 Year Level Term  (Super Pfd / WA),6
AAAL,30 Year Level Term,7
AAAP,30 Year Level Term  (Super Pfd/Std Plus),7
AOAL,30 Year Level Term  (2005),7
AOAP,30 Year Level Term  (Super Preferred),7
AOWL,30 Year Level Term  (WA),7
AOWP,30 Year Level Term  (Super Pfd / WA),7
AAAL,15 Year Level Term  (with ROP),J
AAAP,15 Year Level Term  (Super Pfd/Std Plus),J
AOAL,15 Year Level Term  (with ROP / 2005),J
AOAP,15 Year Level Term  (Super Pfd w/ROP),J
AAAL,20 Year Level Term  (with ROP),K
AAAP,20 Year Level Term  (Super Pfd/Std Plus),K
AOAL,20 Year Level Term  (with ROP / 2005),K
AOAP,20 Year Level Term  (Super Pfd w/ROP),K
AAAL,25 Year Level Term  (with ROP),L
AAAP,25 Year Level Term  (Super Pfd/Std Plus),L
AOAL,25 Year Level Term  (with ROP / 2005),L
AOAP,25 Year Level Term  (Super Pfd w/ROP),L
AAAL,30 Year Level Term  (with ROP),M
AAAP,30 Year Level Term  (Super Pfd/Std Plus),M
AOAL,30 Year Level Term  (with ROP / 2005),M
AOAP,30 Year Level Term  (Super Pfd w/ROP),M
AAAL,LifeTime UL (LTULII),G
AAAP,LifeTime UL (LTULII)  (Super Preferred),G
          Allianz Life Insurance Company of NA    
ALTI,10 Year Term Life,3
ALTS,10 Year Term Life  (P+ Super/R+ Select),3
ALTE,10 Year Term Life  (P+ Elite Select),3
ALLI,10 Year Term Life  (2004),3
ALLS,10 Year Term Life  (P+ Super/R+Select),3
ALLE,10 Year Term Life  (P+ Elite Select),3
ALTI,20 Year Term Life,5
ALTS,20 Year Term Life  (P+ Super/R+ Select),5
ALTE,20 Year Term Life  (P+ Elite Select),5
ALLI,20 Year Term Life  (2004),5
ALLS,20 Year Term Life  (P+ Super/R+Select),5
ALLE,20 Year Term Life  (P+ Elite Select),5
ALTI,30 Year Term Life,7
ALTS,30 Year Term Life  (P+ Super/R+ Select),7
ALTE,30 Year Term Life  (P+ Elite Select),7
ALTI,20 Year Term Life with ROP,K
ALTS,20 Year Term Life  (P+ Super/R+ Select),K
ALTE,20 Year Term Life  (P+ Elite Select),K
