          AAA Life Insurance Company              
AAAL,10 Year Level Term,3
AAAP,10 Year Level Term  (Super Pfd/Std Plus),3
AAAL,15 Year Level Term,4
AAAP,15 Year Level Term  (Super Pfd/Std Plus),4
AAAL,20 Year Level Term,5
AAAP,20 Year Level Term  (Super Pfd/Std Plus),5
AAAL,25 Year Level Term,6
AAAP,25 Year Level Term  (Super Pfd/Std Plus),6
AAAL,30 Year Level Term,7
AAAP,30 Year Level Term  (Super Pfd/Std Plus),7
AAAL,15 Year Level Term  (with ROP),J
AAAP,15 Year Level Term  (Super Pfd/Std Plus),J
AAAL,20 Year Level Term  (with ROP),K
AAAP,20 Year Level Term  (Super Pfd/Std Plus),K
AAAL,25 Year Level Term  (with ROP),L
AAAP,25 Year Level Term  (Super Pfd/Std Plus),L
AAAL,30 Year Level Term  (with ROP),M
AAAP,30 Year Level Term  (Super Pfd/Std Plus),M
          Allstate Life Insurance Co of New York  
AYGL,TrueTerm (2012) - 10 Year,3
AYGM,TrueTerm - 10 Year (P+ Elite#R+ Select),3
AYGL,TrueTerm (2012) - 15 Year,4
AYGM,TrueTerm - 15 Year (P+ Elite#R+ Select),4
AYGL,TrueTerm (2012) - 20 Year,5
AYGM,TrueTerm - 20 Year (P+ Elite#R+ Select),5
AYGL,TrueTerm (2012) - 25 Year,6
AYGM,TrueTerm - 25 Year (P+ Elite#R+ Select),6
AYGL,TrueTerm (2012) - 30 Year,7
AYGM,TrueTerm - 30 Year (P+ Elite#R+ Select),7
AYGL,TrueTerm (2012) - level to age 65,T
AYGM,TrueTerm - to 65   (P+ Elite#R+ Select),T
AYGL,TrueTerm (2012) - level to age 70,U
AYGM,TrueTerm - to 70   (P+ Elite#R+ Select),U
AYGL,TrueTerm (2012) - level to age 75,V
AYGM,TrueTerm - to 75   (P+ Elite#R+ Select),V
ABTE,TrueTerm (2012) - 11 Year,F
ABTP,TrueTerm - 11 Year (P+ Elite#R+ Select),F
ABBE,TrueTerm (2012) - 12 Year,F
ABBP,TrueTerm - 12 Year (P+ Elite#R+ Select),F
ABCE,TrueTerm (2012) - 13 Year,F
ABCP,TrueTerm - 13 Year (P+ Elite#R+ Select),F
ABDE,TrueTerm (2012) - 14 Year,F
ABDP,TrueTerm - 14 Year (P+ Elite#R+ Select),F
ABEE,TrueTerm (2012) - 16 Year,F
ABEP,TrueTerm - 16 Year (P+ Elite#R+ Select),F
ABFE,TrueTerm (2012) - 17 Year,F
ABFP,TrueTerm - 17 Year (P+ Elite#R+ Select),F
ABGE,TrueTerm (2012) - 18 Year,F
ABGP,TrueTerm - 18 Year (P+ Elite#R+ Select),F
ABHE,TrueTerm (2012) - 19 Year,F
ABHP,TrueTerm - 19 Year (P+ Elite#R+ Select),F
ABIE,TrueTerm (2012) - 21 Year,F
ABIP,TrueTerm - 21 Year (P+ Elite#R+ Select),F
ABJE,TrueTerm (2012) - 22 Year,F
ABJP,TrueTerm - 22 Year (P+ Elite#R+ Select),F
ABKE,TrueTerm (2012) - 23 Year,F
ABKP,TrueTerm - 23 Year (P+ Elite#R+ Select),F
ABLE,TrueTerm (2012) - 24 Year,F
ABLP,TrueTerm - 24 Year (P+ Elite#R+ Select),F
ABME,TrueTerm (2012) - 26 Year,F
